model,return
Balanced,5.85336
Balanced,6.460945
Balanced,8.91734
Balanced,7.944445
Balanced,7.298585
Balanced,7.60618
Balanced,8.17745
Balanced,8.62329
Balanced,9.19569
Balanced,8.04543
Balanced,8.659805
Balanced,9.445935
Balanced,9.744475
Balanced,10.05983
Balanced,8.72933
Balanced,8.452465
Balanced,7.47707
Balanced,9.05928
Balanced,9.637465
Balanced,11.399895
Balanced,12.028025
Balanced,11.71682
Balanced,9.760415
Balanced,10.41255
Balanced,10.25752
Balanced,10.57513
Balanced,11.02396
Balanced,9.90934
Balanced,10.38115
Balanced,9.98518
Balanced,9.760045
Balanced,10.21683
Balanced,10.789515
Balanced,10.707115
Balanced,11.853255
Balanced,11.50253
Balanced,11.99592
Balanced,13.200645
Balanced,13.448915
Balanced,15.485545
Balanced,16.169435
Balanced,17.22316
Balanced,17.62054
Balanced,16.288935
Balanced,16.81854
Balanced,16.734795
Balanced,15.9639
Balanced,15.969335
Balanced,16.343235
Balanced,15.720015
Balanced,15.788515
Balanced,16.23857
Balanced,16.47411
Balanced,16.828175
Balanced,16.431615
Balanced,19.473235
Balanced,19.23218
Balanced,19.447605
Balanced,19.42778
Balanced,19.91941
Balanced,20.35012
Balanced,18.717465
Balanced,16.66992
Balanced,18.91874
Balanced,18.24908
Balanced,19.90242
Balanced,16.856855
Balanced,18.26543
Balanced,17.98985
Balanced,17.785145
Balanced,19.07553
Balanced,19.37558
Balanced,18.600435
Balanced,17.432365
Balanced,16.853595
Balanced,17.542965
Balanced,18.375315
Balanced,18.92895
Balanced,18.06149
Balanced,17.963025
Balanced,17.76916
Balanced,18.87981
Balanced,18.79027
Balanced,20.079865
Balanced,18.715815
Balanced,18.373315
Balanced,18.844935
Balanced,17.15759
Balanced,16.622135
Balanced,17.126215
Balanced,16.37945
Balanced,15.71104
Balanced,15.495855
Balanced,16.497525
Balanced,16.84793
Balanced,16.463065
Balanced,16.123495
Balanced,15.206355
Balanced,14.478225
Balanced,15.238795
Balanced,14.605295
Balanced,14.582855
Balanced,13.554495
Balanced,13.737525
